,0
0,"['the', 'cream', 'isn', 'soothing', 'eczema', 'or', 'flakiness', 'anymore']"
1,"['fab', 'cream', 'for', 'almost', 'decade']"
2,"['cream', 've', 'got', 'whole', 'family', 'with', 'sensitive', 'skin']"
3,"['skin', 'actually', 'soft', 'but', 'never', 'greasy', 'and', 'weird']"
4,"['buy', 'for', 'variety', 'of', 'concern', 'dry', 'skin', 'acne']"
5,"['discontinued', 'fragrance', 'rip', 'coconut', 'lime']"
6,"['insubstantial', 'when', 'applied', 'once', 'it', 'rubbed']"
7,"['ve', 'been', 'using', 'this', 'fab']"
8,"['is', 'catastrophic', 'change', 'this', 'product']"
9,"['very', 'harsh', 'winter', 'we', 've', 'bought', 'uncounted', 'tube']"
10,"['the', 'best', 'not', 'greasy', 'but', 'keep', 'your', 'hand']"
11,"['cream', 'and', 'this', 'is', 'by', 'far', 'the', 'best']"
12,"['ve', 'tried', 'gold', 'bond', 'cream']"
13,"['gold', 'bond', 'cream', 'to', 'occitaine', 'cream', 'and', 'this']"
14,"['occitaine', 'cream', 'and', 'this', 'is', 'by', 'far', 'the']"
15,"['wash', 'my', 'hand', 'so', 'much', 'this', 'ha', 'been']"
16,"['hand', 'supple', 'work']"
17,"['winter', 'dryness', 'a', 'well', 'cannot']"
18,"['wa', 'on', 'sale', 'to', 'try']"
19,"['supple', 'work', 'in', 'health', 'care']"
20,"['have', 'any', 'issue', 'and', 'it', 'did', 'moisturize']"
21,"['eucalyptus', 'and', 'got', 'pimple']"
22,"['moisturize', 'well', 'even', 'used', 'it', 'on', 'my', 'baby']"
23,"['used', 'it', 'on', 'my', 'baby', 'skin', 'and']"
24,"['skin', 'and', 'it', 'helped', 'however', 'after', 'few', 'month']"
25,"['product', 'for', 'many', 'month']"
26,"['leave', 'me', 'moisturized', 'for', 'few']"
27,"['off', 'when', 'using', 'the', 'product', 'also', 'after', 'point']"
28,"['felt', 'like', 'got', 'sensitive', 'to']"
29,"['it', 'might', 'be']"
30,"['bought', 'the', 'ultra', 'repair', 'cream', 'it', 'wa', 'amazing']"
31,"['eczema', 'looking', 'patch', 'on', 'my', 'arm', 'within', 'week']"
32,"['for', 'how', 'much', 'cream', 'wa', 'having', 'to', 'use']"
33,"['14oz', 'jar', 'seems', 'little', 'excessive', 'for', 'how', 'much']"
34,"['lotion', 'that', 'were', 'le', 'than', 'the', 'price', 'for']"
35,"['christmas', 'pear', 'fragrance', 'and', 'waited', 'month']"
36,"['this', 'product', 'so', 'much', 'when', 'first', 'started', 'using']"
37,"['the', 'price', 'for', 'more', 'product']"
38,"['becoming', 'thinner', 'and', 'not', 'working', 'a']"
39,"['bleed', 'at', 'the', 'knuckle', 'and', 'cuticle']"
40,"['love', 'this', 'moisturizer', 'use', 'it', 'a', 'my', 'morning']"
41,"['my', 'morning', 'moisturizer', 'and', 'make', 'me', 'feel', 'hydrated']"
42,"['love', 'this', 'moisturizer', 'use', 'it', 'a']"
43,"['love', 'this', 'moisturizer']"
44,"['moisturizer', 'use', 'it', 'a', 'my', 'morning', 'moisturizer', 'and']"
45,"['it', 'a', 'my', 'morning', 'moisturizer', 'and', 'make', 'me']"
46,"['this', 'moisturizer', 'use', 'it', 'a', 'my']"
47,"['make', 'me', 'feel', 'hydrated']"
48,"['moisturizer', 'and', 'make']"
49,"['love', 'this']"
50,"['great', 'choice', 'for', 'oily', 'acne', 'prone', 'skin', 'work']"
51,"['great', 'choice', 'for', 'oily', 'acne', 'prone', 'skin']"
52,"['great', 'choice', 'for', 'oily', 'acne']"
53,"['for', 'oily', 'acne', 'prone', 'skin']"
54,"['for', 'oily', 'acne', 'prone', 'skin', 'work', 'well', 'with']"
55,"['oily', 'acne', 'prone', 'skin', 'work', 'well', 'with', 'topicals']"
56,"['for', 'oily', 'acne']"
57,"['work', 'well', 'with', 'topicals', 'and', 'give', 'long', 'lasting']"
58,"['for', 'oily']"
59,"['great', 'choice', 'for']"
60,"['cerave', 'disagree', 'not', 'all', 'moisturizers', 'work', 'for', 'everyone']"
61,"['rosacea', 'and', 'super', 'sensitive', 'skin', 'and', 'wanted', 'moisturizer']"
62,"['cetaphil', 'gentle', 'cleanser', 'and', 'it', 'feel', 'great', 'also']"
63,"['skin', 'but', 'fab', 'ultra', 'hydrating', 'cream']"
